Order Number,Pickup Point ID,SLS Tracking Number,3PL Tracking Number,Seller Name,Seller Phone,Create Time,Status,Shopee Order SN,Buyer Sort Code,Pickup Time,Pickup Driver,DC Receive Time,Assigned Time,Bulky Type,PickUp TaskNumber,Shop ID/DOP ID,ETA,pickup attempts,seller’s fault times,update history,Seller Sort Code,Seller Zipcode,State,City,Neighbor,Seller Address
BR255464754172Y,1057319316_001,BR255464754172Y,,Magas Comercio de Utilidades,5511977966954,07/03/2025 09:58,Created,2503070J0Y828P,Vila Ré,,,,,N/A,/,1057319316,07/03/2025 23:59,0,0,,Parque Boturussu,03802010,São Paulo,São Paulo,Parque Boturussu,"Avenida Boturussu, 679, Apto 04"
BR2587969888910,530370669_003,BR2587969888910,,FAST MO,5511982812817,07/03/2025 09:58,Assigned,2503070J0Y828P,Helena Maria,,,,,N/A,/,530370669,07/03/2025 23:59,0,0,,Pari,03035115,São Paulo,São Paulo,Pari,"R Monsenhor Abreu, 72"
BR2583732064192,1057319316_001,BR2583732064192,,Magas Comercio de Utilidades,5511977966954,07/03/2025 09:58,Created,2503070J0Y828P,Saude,,,,,N/A,/,1057319316,07/03/2025 23:59,0,0,,Parque Boturussu,03802010,São Paulo,São Paulo,Parque Boturussu,"Avenida Boturussu, 679, Apto 04"
BR252402447877X,1057319316_001,BR252402447877X,,Magas Comercio de Utilidades,5511977966954,07/03/2025 09:58,Created,2503070J0Y828P,Jardim Catarina,,,,,N/A,/,1057319316,07/03/2025 23:59,0,0,,Parque Boturussu,03802010,São Paulo,São Paulo,Parque Boturussu,"Avenida Boturussu, 679, Apto 04"
BR253867871050K,1085236305_002,BR253867871050K,,Angel Home,5511982675397,07/03/2025 09:57,Created,2503070J0Y828P,Jardim Íris,,,,,N/A,/,1085236305,07/03/2025 23:59,0,0,,Chácara Belenzinho,03377000,São Paulo,São Paulo,Chácara Belenzinho,"Avenida Renata, 693, SALAO COMERCIAL"
BR257317396904Z,1057319316_001,BR257317396904Z,,Magas Comercio de Utilidades,5511977966954,07/03/2025 09:57,Created,2503070J0Y828P,Vila Gea,,,,,N/A,/,1057319316,07/03/2025 23:59,0,0,,Parque Boturussu,03802010,São Paulo,São Paulo,Parque Boturussu,"Avenida Boturussu, 679, Apto 04"
BR2536488130343,1057319316_001,BR2536488130343,,Magas Comercio de Utilidades,5511977966954,07/03/2025 09:57,Created,2503070J0Y828P,Novo Osasco,,,,,N/A,/,1057319316,07/03/2025 23:59,0,0,,Parque Boturussu,03802010,São Paulo,São Paulo,Parque Boturussu,"Avenida Boturussu, 679, Apto 04"
BR259543771683P,807581166_003,BR259543771683P,,REAL MO,5511985223888,07/03/2025 09:57,Assigned,2503070J0Y828P,Vila Guarani (Z Sul),,,,,N/A,/,807581166,07/03/2025 23:59,0,0,,Pari,03035115,São Paulo,São Paulo,Pari,"R Mns Abreu, 76, SALA 01"
BR254176757905X,450571705_003,BR254176757905X,,Camellia Papelaria,5511985639630,07/03/2025 09:57,Assigned,2503070J0Y828P,Jardim Rosa Maria,,,,,N/A,/,450571705,07/03/2025 23:59,0,0,,Bom Retiro,01128000,São Paulo,São Paulo,Bom Retiro,"R Barra do Tibaji, 524"
BR2532193285953,397448725_003,BR2532193285953,,ALX SUPORTES,5511930301992,07/03/2025 09:57,Created,2503070J0Y828P,Parque Pereira,,,,,N/A,/,397448725,07/03/2025 23:59,0,0,,Vila Maria Baixa,02120000,São Paulo,São Paulo,Vila Maria Baixa,"R Curuçá, 332 , sala 02"
BR2523949185032,397448725_003,BR2523949185032,,ALX SUPORTES,5511930301992,07/03/2025 09:57,Created,2503070J0Y828P,Jardim Tietê,,,,,N/A,/,397448725,07/03/2025 23:59,0,0,,Vila Maria Baixa,02120000,São Paulo,São Paulo,Vila Maria Baixa,"R Curuçá, 332 , sala 02"
BR250399540719M,397448725_003,BR250399540719M,,ALX SUPORTES,5511930301992,07/03/2025 09:57,Created,2503070J0Y828P,Cidade Soberana,,,,,N/A,/,397448725,07/03/2025 23:59,0,0,,Vila Maria Baixa,02120000,São Paulo,São Paulo,Vila Maria Baixa,"R Curuçá, 332 , sala 02"
BR2514396716682,832040275_003,BR2514396716682,,P&H  Oficial,5511915914778,07/03/2025 09:56,Assigned,2503070J0Y828P,Vila Pirituba,,,,,N/A,/,832040275,07/03/2025 23:59,0,0,,Pari,03035115,São Paulo,São Paulo,Pari,"R Mns Abreu, 72, SALA 05"
BR251849238751V,569114904_002,BR251849238751V,,BEST MO,5511983993320,07/03/2025 09:56,Assigned,2503070J0Y828P,Vila Mariana,,,,,N/A,/,569114904,07/03/2025 23:59,0,0,,Pari,03035115,São Paulo,São Paulo,Pari,"R Monsenhor Abreu, 72"
BR250624169481Q,580867793_003,BR250624169481Q,,Mc Santos Vestuario,5511940191340,07/03/2025 09:55,Created,2503070J0Y828P,Jardim Nova Taboão,,,,,N/A,/,580867793,07/03/2025 23:59,0,0,,Cipava,06075130,São Paulo,Osasco,Cipava,"Avenida Visconde de Nova Granada, 1935, GALPÃO"
BR256011104643L,832040275_003,BR256011104643L,,P&H  Oficial,5511915914778,07/03/2025 09:55,Assigned,2503070J0Y828P,Artur Alvim,,,,,N/A,/,832040275,07/03/2025 23:59,0,0,,Pari,03035115,São Paulo,São Paulo,Pari,"R Mns Abreu, 72, SALA 05"
BR2543218503902,569114904_002,BR2543218503902,,BEST MO,5511983993320,07/03/2025 09:54,Assigned,2503070J0Y828P,Jardim Gracinda,,,,,N/A,/,569114904,07/03/2025 23:59,0,0,,Pari,03035115,São Paulo,São Paulo,Pari,"R Monsenhor Abreu, 72"
