Order Number,Pickup Point ID,SLS Tracking Number,3PL Tracking Number,Seller Name,Seller Phone,Create Time,Status,Shopee Order SN,Buyer Sort Code,Pickup Time,Pickup Driver,DC Receive Time,Assigned Time,Bulky Type,PickUp TaskNumber,Shop ID/DOP ID,ETA,pickup attempts,seller’s fault times,update history,Seller Sort Code,Seller Zipcode,State,City,Neighbor,Seller Address
BR2503633867754,1003085235_004,BR2503633867754,,INFINITY COMERCIO DE VARIEDADES,5511944438579,05/03/2025 16:12,Inbounded,250305QY339NC6,Munhoz Júnior,06/03/2025 12:27,Ademir chaves de morais junior,06/03/2025 13:36,06/03/2025 08:01,N/A,PT2025030613IPW,1003085235,05/03/2025 23:59,1,1,,Pari,03035115,São Paulo,São Paulo,Pari,"R Mns Abreu, 72, SALA09"
BR2504360458588,832040275_003,BR2504360458588,,P&H  Oficial,5511915914778,05/03/2025 16:12,Inbounded,250305QY339NC6,Bela Vista,06/03/2025 11:59,Ademir chaves de morais junior,06/03/2025 13:35,06/03/2025 08:01,N/A,PT2025030613IQC,832040275,05/03/2025 23:59,1,1,,Pari,03035115,São Paulo,São Paulo,Pari,"R Mns Abreu, 72, SALA05"
BR2570256362188,1008802369_001,BR2570256362188,,LOJA DA WEB,5511942481729,05/03/2025 16:11,Inbounded,250305QY339NC6,Jardim Andaraí,06/03/2025 12:06,Ademir chaves de morais junior,06/03/2025 13:36,06/03/2025 08:01,N/A,PT2025030613IQA,1008802369,05/03/2025 23:59,1,1,,Pari,03035115,São Paulo,São Paulo,Pari,"R Mns Abreu, 72, SALA13"
BR251957356224A,807581166_003,BR251957356224A,,REAL MO,5511985223888,05/03/2025 16:11,Inbounded,250305QY339NC6,Cidade Líder,06/03/2025 09:33,Ademir chaves de morais junior,06/03/2025 11:06,06/03/2025 08:01,N/A,PT2025030613C1W,807581166,05/03/2025 23:59,0,0,,Pari,03035115,São Paulo,São Paulo,Pari,"R Mns Abreu, 76, SALA01"
BR2579205166714,569114904_002,BR2579205166714,,BEST MO,5511983993320,05/03/2025 16:11,Inbounded,250305QY339NC6,Jardim Bom Pastor,06/03/2025 09:38,Ademir chaves de morais junior,06/03/2025 11:06,06/03/2025 08:01,N/A,PT2025030613C26,569114904,05/03/2025 23:59,0,0,,Pari,03035115,São Paulo,São Paulo,Pari,"R Monsenhor Abreu, 72"
BR254714358750N,461633669_003,BR254714358750N,,MAX MO (Atacado & Varejo),5511984537583,05/03/2025 16:10,Inbounded,250305QY339NC6,Vila Vermelha,06/03/2025 09:13,Ademir chaves de morais junior,06/03/2025 11:06,06/03/2025 08:01,N/A,PT2025030613C1L,461633669,05/03/2025 23:59,0,0,,Pari,03035115,São Paulo,São Paulo,Pari,"R Monsenhor Abreu, 76"
BR255081001654S,807597901_003,BR255081001654S,,BIG MO,5511986187622,05/03/2025 16:10,Inbounded,250305QY339NC6,Jardim das Acácias,06/03/2025 09:46,Ademir chaves de morais junior,06/03/2025 11:05,06/03/2025 08:01,N/A,PT2025030613C1Y,807597901,05/03/2025 23:59,0,0,,Pari,03035115,São Paulo,São Paulo,Pari,"R Mns Abreu, 76, SALA 02"
BR252381417989Z,461633669_003,BR252381417989Z,,MAX MO (Atacado & Varejo),5511984537583,05/03/2025 16:10,Inbounded,250305QY339NC6,Jardim Miriam,06/03/2025 09:55,Ademir chaves de morais junior,06/03/2025 11:08,06/03/2025 08:01,N/A,PT2025030613C1L,461633669,05/03/2025 23:59,0,0,,Pari,03035115,São Paulo,São Paulo,Pari,"R Monsenhor Abreu, 76"
BR250393424881U,569114904_002,BR250393424881U,,BEST MO,5511983993320,05/03/2025 16:08,Inbounded,250305QY339NC6,Vila Moinho Velho,06/03/2025 09:27,Ademir chaves de morais junior,06/03/2025 11:02,06/03/2025 08:01,N/A,PT2025030613C26,569114904,05/03/2025 23:59,0,0,,Pari,03035115,São Paulo,São Paulo,Pari,"R Monsenhor Abreu, 72"
BR250833811481D,481902588_003,BR250833811481D,,Femme Fashion ,5511998007756,05/03/2025 16:07,Inbounded,250305QY339NC6,Pinheiros,06/03/2025 11:48,Rogério Do Nascimento Rangel,06/03/2025 12:46,06/03/2025 03:22,N/A,PT2025030613IU3,481902588,05/03/2025 23:59,1,1,,Prosperidade,09550470,São Paulo,São Caetano do Sul,Prosperidade,"Rua Garça, 104"
